,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
13,12,North Carolina,5-0,997,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),North Carolina
14,13,Marquette,4-0,958,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Marquette
15,14,Kansas,2-2,949,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Kansas
16,15,Missouri,2-0,677,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Missouri
17,16,Xavier,2-1,630,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Xavier
18,17,Stanford,4-1,477,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Stanford
19,18,Kentucky,2-1,471,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Kentucky
20,19,Tulsa,3-0,468,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Tulsa
21,20,Minnesota,2-0,433,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Minnesota
22,21,Michigan State,2-2,345,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Michigan State
23,22,Virginia,3-1,312,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Virginia
24,23,Wisconsin,4-0,268,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Wisconsin
25,24,Mississippi State,2-1,206,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Mississippi State
26,25,Illinois,3-0,170,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Illinois
2,1,Arizona (31),2-0,775,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Arizona
3,2,Texas,4-0,714,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Texas
4,3,Duke,3-0,695,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Duke
5,4,Pittsburgh,3-0,674,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Pittsburgh
6,5,Alabama,4-0,658,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Alabama
7,6,Oregon,3-0,573,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Oregon
8,7,Oklahoma,3-1,525,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Oklahoma
9,8,Maryland,3-0,521,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Maryland
10,9,Florida,4-1,475,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Florida
11,10,Marquette,4-0,459,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Marquette
12,11,Indiana,4-0,448,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Indiana
13,12,Connecticut,3-0,428,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Connecticut
14,13,Kansas,2-2,416,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Kansas
15,14,North Carolina,5-0,321,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),North Carolina
16,15,Missouri,2-0,299,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Missouri
17,16,Xavier,2-1,259,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Xavier
